MONTROSE AV,WE8,10600.0
NEWARK C,TU4,12167.5715926
FT HAMILTON PKY,TH8,12658.8392857
BEACH 36 ST,SA12,681.0
1 AV,SA8,11039.0
BROAD ST,TH12,7937.25
AVENUE P,TH12,1634.0
WINTHROP ST,TH16,6468.0
CHRISTOPHER ST,FR0,3170.82268519
MIDDLETOWN RD,TU20,381.5
183 ST,SU12,3879.0
46 ST,FR16,6324.0
ASTOR PL,SA16,10369.75
CATHEDRAL PKWY,SU4,2239.75
CROWN HTS-UTICA,SA8,17708.0
VERNON-JACKSON,SA16,10439.5
34 ST-HERALD SQ,WE12,95857.0
CITY HALL,WE0,157.0
66 ST-LINCOLN,FR8,13749.5
GRD CNTRL-42 ST,SU12,53702.25
PARKSIDE AV,SU4,1111.25
NEWARK C,WE12,941.039896174
ELMHURST AV,MO4,12068.0
39 AV,TU8,3923.0
BLEECKER ST,MO0,1649.0
121 ST,SA12,1536.0
155 ST,FR4,6955.25
E 143/ST MARY'S,SA8,446.75
BEDFORD AV,TH12,19365.0
LIVONIA AV,TU20,1071.0
CHAUNCEY ST,MO12,2750.75
181 ST,FR16,18603.25
46 ST,TH12,7719.0
GRANT AV,SA8,3548.41738168
JACKSON AV,MO4,5192.0
BURKE AV,TU8,3767.0
CITY HALL,TU12,7555.0
116 ST,TH4,29103.0
21 ST,MO8,643.5
GROVE STREET,MO8,26749.0637118
BROOK AV,SA20,1846.25
MYRTLE-WILLOUGH,SA20,1752.75
NEWARK HM HE,SU20,1570.43381064
PATH WTC 2,FR0,208.088955026
VAN SICLEN AV,TU20,2293.75
KEW GARDENS,FR16,16960.25
BRIGHTON BEACH,WE0,400.0
OCEAN PKWY,WE12,3269.0
155 ST,TU20,1989.5
34 ST-HUDSON YD,SU20,3208.0
WEST FARMS SQ,FR20,2432.5
MIDDLETOWN RD,TU16,1005.5
163 ST-AMSTERDM,SU0,440.0
W 8 ST-AQUARIUM,FR20,723.0
KINGSTON AV,WE4,3958.0
GRANT AV,MO0,342.0
36 AV,MO0,337.0
PELHAM BAY PARK,TH8,7511.0
SIMPSON ST,MO4,7556.0
SUTTER AV,WE4,5892.0
MARCY AV,MO20,5550.75
PARKSIDE AV,SU20,1254.25
PAVONIA/NEWPORT,FR12,15704.8560331
86 ST,FR16,127321.0
TIMES SQ-42 ST,TU12,67371.0
FRANKLIN AV,FR16,13674.5
HIGH ST,MO8,5656.0
GRAND ST,TU0,1561.0
61 ST WOODSIDE,MO20,4568.75
ELMHURST AV,TH20,2430.0
167 ST,SU16,8383.0
BRIARWOOD,TH20,821.0
LIVONIA AV,WE12,2720.5
ASTORIA DITMARS,SA0,1044.0
65 ST,MO0,253.0
CORTELYOU RD,SA0,240.0
FRANKLIN ST,SU8,1275.0
MT EDEN AV,SU16,2516.0
BEDFORD AV,SA16,38112.0
FOREST HILLS 71,TU8,28674.393826
NASSAU ST,SA16,6026.0
JAMAICA CENTER,TU16,30580.5
LACKAWANNA,TH20,1047.09447495
NEWKIRK PLAZA,SU20,1338.5
LIVONIA AV,TU0,335.0
157 ST,TU4,9023.0
LACKAWANNA,SA8,1957.27750111
HOYT ST,SU16,4832.0
NEWARK HM HE,TU4,643.63309945
75 AV,TH0,68.0
BLEECKER ST,SU16,10713.0
28 ST,WE0,5532.85714286
75 ST-ELDERTS,WE20,824.0
BERGEN ST,SU0,1350.0
PELHAM PKWY,MO16,8519.25
42 ST-PORT AUTH,WE16,86732.5
INWOOD-207 ST,WE16,5971.0
V.CORTLANDT PK,FR12,5194.375
BOWERY,TU12,2848.0
135 ST,MO20,6884.25
4 AV-9 ST,FR8,3942.0
149/GRAND CONC,FR12,14848.0
GRANT AV,TH0,395.0
LORIMER ST,TU4,11253.25
ROCKAWAY AV,TH8,14287.992737
HARLEM 148 ST,FR8,5393.0
168 ST,TH16,37827.0
110 ST,FR8,15220.0
ORCHARD BEACH,MO20,0.0
RECTOR ST,SA4,802.0
GRD CNTRL-42 ST,FR20,55661.75
AVENUE I,MO4,1561.75
FLATBUSH AV-B.C,TH8,18668.0776824
CORTLANDT ST,MO8,4382.91843862
RALPH AV,MO16,3281.75
CORTLANDT ST,MO16,15824.0
FLUSHING-MAIN,MO16,45705.0
GRAND ST,SU20,9623.0
ASTOR PL,TU0,2298.25
ROCKAWAY AV,SU0,1030.75892857
LACKAWANNA,TH8,16722.5239387
6 AV,WE8,1618.0
9 AV,WE12,4396.0
174 ST,TH12,6350.0
QUEENS PLAZA,TH8,7432.75
PARKSIDE AV,TU0,458.75
155 ST,SA8,4856.25
AQUEDUCT N.COND,MO4,1569.25
JAMAICA CENTER,TU20,10657.0
168 ST,SU16,12755.0
EAST BROADWAY,MO4,5237.0
46 ST,SU0,894.5
CLEVELAND ST,SA20,968.75
BRONX PARK EAST,TH4,4015.5
CRESCENT ST,TH12,3667.375
OCEAN PKWY,FR12,3169.0
176 ST,MO0,352.0
BROOKLYN BRIDGE,SU16,8757.0
CYPRESS HILLS,TH16,754.0
CHRISTOPHER ST,WE4,2920.93247006
42 ST-BRYANT PK,SU0,5415.0
50 ST,FR0,6592.0
BEDFORD PK BLVD,SU12,6532.9666735
7 AV,TH20,23431.875
SHEEPSHEAD BAY,TU20,4038.25
BLEECKER ST,SU8,3441.0
3 AV-149 ST,SU20,4669.0
AVENUE N,WE0,221.5
HUNTS POINT AV,TH4,12740.5
MYRTLE AV,TU0,1220.5
182-183 STS,TH16,3283.0
WINTHROP ST,TU4,6822.25
BOROUGH HALL,SU4,1066.0
UTICA AV,SU16,7866.15
PROSPECT AV,SA12,8305.5
46 ST,SU16,3904.5
NASSAU ST,TH8,11407.0
7 AV,WE12,35456.1607373
53 ST,FR0,248.0
BEVERLEY ROAD,WE0,143.0
34 ST-HERALD SQ,MO4,20656.0
FREEMAN ST,MO8,3851.03207847
3 AV,TH12,5582.0
AVENUE I,SU16,1092.25
GRD CNTRL-42 ST,FR12,151198.25
BAY PKWY,SA20,3875.0
86 ST,SA8,46725.75
174-175 STS,FR16,5030.0
169 ST,TU12,7395.0
71 ST,FR0,151.0
GRD CNTRL-42 ST,TH20,95385.75
170 ST,WE0,1284.0
9 AV,SA0,291.25
AVENUE P,TH8,3989.0
116 ST,TU12,35111.75
SENECA AVE,FR20,525.25
DITMAS AV,WE4,3560.75
28 ST,TH8,31725.6130952
SIMPSON ST,TH8,9274.25
HUNTS POINT AV,SA20,2526.75
WINTHROP ST,MO16,5482.75
138/GRAND CONC,FR8,3240.0
190 ST,SU16,2328.0
BEACH 105 ST,TU8,227.06539083
82 ST-JACKSON H,TU20,5414.0
GREENPOINT AV,TH12,6595.0
125 ST,MO12,68316.875
PARK PLACE,SU20,1235.5
207 ST,TU4,7105.0
HIGH ST,TH4,2481.0
BEACH 44 ST,SU8,354.0
21 ST,TU0,396.0
SUTTER AV-RUTLD,TU8,11571.0
WESTCHESTER SQ,TU0,266.0
INWOOD-207 ST,TH20,2821.25
HOYT ST,FR8,4577.0
SMITH-9 ST,SA16,2688.0
PROSPECT PARK,WE12,7606.0
ORCHARD BEACH,SA20,1.0
59 ST COLUMBUS,SU12,39739.0
14 ST-UNION SQ,TU4,28298.5
ASTORIA BLVD,SA8,8607.0
CATHEDRAL PKWY,SA0,1769.0
LACKAWANNA,WE0,800.973907247
GREENPOINT AV,SU12,4867.0
75 AV,MO12,1907.0
WAKEFIELD/241,FR12,4355.75
BAYCHESTER AV,MO8,3225.75
WESTCHESTER SQ,MO20,1550.0
THIRTY THIRD ST,TH8,10659.0156119
33 ST,MO8,16196.3504377
PAVONIA/NEWPORT,SU12,9402.60288932
HARRISON,WE0,2305.8352865
MYRTLE-WYCKOFF,TH0,1090.0
ALABAMA AV,TH16,2219.5
JOURNAL SQUARE,MO12,14112.3014377
AQUEDUCT RACETR,SU0,993.0
ROCKAWAY AV,FR4,15589.5885989
ROOSEVELT ISLND,TH12,5855.0
WOODLAWN,FR8,6243.0
STERLING ST,TU16,3754.0
BLEECKER ST,TH12,11794.0
PELHAM BAY PARK,SU8,2312.0
JUNCTION BLVD,FR8,25272.0
TWENTY THIRD ST,SU8,981.455224868
175 ST,SA4,2827.0
FLUSHING AV,MO12,11591.0
VAN SICLEN AV,WE8,9640.5
BRIGHTON BEACH,SA12,8853.0
INTERVALE AV,FR20,917.25
75 AV,TU8,6197.0
BAY PKWY,FR4,26655.5
HOYT ST,MO20,2748.0
E 180 ST,FR20,1777.5
LAFAYETTE AV,TH12,4713.5
BURNSIDE AV,SU8,5311.0
SMITH-9 ST,TH4,2536.0
CYPRESS HILLS,TU4,2167.0
181 ST,MO0,1035.0
ROOSEVELT ISLND,SU12,4424.0
BEACH 36 ST,SU20,261.0
HALSEY ST,FR0,1268.0
BROAD ST,MO0,300.25
JFK JAMAICA CT1,FR20,3428.9375
BEACH 44 ST,TU4,1084.0
215 ST,TU8,2021.0
LEXINGTON AV/53,TH20,22972.0
BLEECKER ST,FR16,20441.0
CORTELYOU RD,FR8,9620.0
59 ST,SU12,45137.0
LONGWOOD AV,MO0,373.25
MARCY AV,FR12,15013.0
COURT SQ,MO16,23227.0
15 ST-PROSPECT,FR4,6249.5
CENTRAL AV,MO4,3686.75
68ST-HUNTER CO,MO16,35726.0
KINGSBRIDGE RD,TH4,21768.0
GRAHAM AV,SA4,1386.0
SPRING ST,MO16,36395.0
JKSN HT-ROOSVLT,WE0,3193.0
SIMPSON ST,WE8,9561.0
NEW LOTS AV,SA8,2813.0
BOWLING GREEN,TH16,66212.5
BOTANIC GARDEN,WE0,125.25
9TH STREET,WE20,5566.75762573
LAFAYETTE AV,MO4,2039.75
AVENUE U,FR4,14346.5
EXCHANGE PLACE,FR0,1215.52449283
46 ST BLISS ST,FR0,709.0
HALSEY ST,MO4,14735.0
NECK RD,TU0,102.0
BOWERY,WE4,479.0
JACKSON AV,SU0,563.5
