STATION,SHIFT,COMB_SCORE,SCHOOLS,BUSINESS,TRAFFIC
ALLERTON AV,FR0,0.01976875,0,0,790.75
SHEEPSHEAD BAY,SA16,0.14058125,0,0,5623.25
PELHAM PKWY,TU4,0.3807625,0,0,15230.5
53 ST,MO12,0.1321,0,0,5284.0
METS-WILLETS PT,SA8,0.047828125,0,0,1913.125
182-183 STS,WE20,0.787625,3,0,1505.0
CORTLANDT ST,FR0,0.5195125,1,10,780.5
52 ST,SA0,0.01265,0,0,506.0
LIBERTY AV,WE12,0.0712355755078,0,0,2849.42302031
UTICA AV,TU12,0.331689920443,0,0,13267.5968177
E 149 ST,WE4,0.1526,0,0,6104.0
3 AV,WE4,1.02245,4,0,898.0
90 ST-ELMHURST,SU20,0.080425,0,0,3217.0
85 ST-FOREST PK,TH0,0.005375,0,0,215.0
CITY HALL,WE12,0.474125,1,1,7965.0
NORWOOD 205 ST,MO4,0.51290625,1,0,10516.25
VAN SICLEN AV,SU16,0.0702625,0,0,2810.5
BURKE AV,WE16,0.0464125,0,0,1856.5
169 ST,WE12,0.204475,0,0,8179.0
GRAND ST,WE16,1.17125,0,0,46850.0
V.CORTLANDT PK,WE8,0.211075,0,0,8443.0
207 ST,TH12,0.63945,2,0,5578.0
HEWES ST,TH12,0.30846875,1,0,2338.75
42 ST-BRYANT PK,WE0,1.7581,6,6,4324.0
HOYT-SCHER,MO20,0.59425,2,0,3770.0
STEINWAY ST,MO0,0.024025,0,0,961.0
174 ST,SA4,0.06389375,0,0,2555.75
JAMAICA 179 ST,WE20,0.09615,0,0,3846.0
HOYT ST,TH4,0.530125,2,0,1205.0
18 ST,SU0,2.19935,8,7,974.0
65 ST,TH0,0.00549375,0,0,219.75
90 ST-ELMHURST,MO0,0.019375,0,0,775.0
BOWERY,WE20,0.363875,1,1,3555.0
EASTN PKWY-MUSM,FR20,0.2748,1,0,992.0
CYPRESS AV,TH8,0.0738253334595,0,0,2953.01333838
36 AV,TU20,0.550525,2,0,2021.0
47-50 STS ROCK,SU16,2.18215,6,3,24286.0
NEPTUNE AV,TU0,0.003525,0,0,141.0
161/YANKEE STAD,TU12,0.812039583333,1,0,22481.5833333
PARKCHESTER,SU20,0.07429375,0,0,2971.75
E 149 ST,FR16,0.089275,0,0,3571.0
CHRISTOPHER ST,FR16,1.04317738642,2,2,19727.0954567
72 ST,FR20,1.30779375,3,0,22311.75
67 AV,FR20,0.02855,0,0,1142.0
51 ST,MO8,1.845525,6,3,10821.0
SMITH-9 ST,TH16,0.15445,0,0,6178.0
KOSCIUSZKO ST,MO16,0.081275,0,0,3251.0
207 ST,WE16,0.660525,2,0,6421.0
JAY ST-METROTEC,TH20,0.915925,2,0,16637.0
BEACH 67 ST,TU16,0.04125,0,0,1650.0
34 ST-HERALD SQ,MO16,6.454125,7,12,176165.0
JUNCTION BLVD,MO12,0.364575,0,0,14583.0
