HUNTERS POINT,HUNTERS PT AV
HUNTS POINT AV,HUNTS POINT AV
INTERVALE AV,INTERVALE AV
INWOOD - 207TH ST,INWOOD-207 ST
JACKSON AV,JACKSON AV
JACKSON HEIGHTS-ROOSEVELT AVE,JKSN HT-ROOSVLT
JAMAICA-179TH ST,JAMAICA 179 ST
JAMAICA-VAN WYCK,JAMAICA VAN WK
JAY ST - BOROUGH HALL,JAY ST-METROTEC
JEFFERSON ST,JEFFERSON ST
JUNCTION BLVD,JUNCTION BLVD
JUNIUS ST,JUNIUS ST
KEW GARDENS-UNION TURNPIKE,KEW GARDENS
KINGS HIGHWAY,KINGS HWY
KINGSBRIDGE RD,KINGSBRIDGE RD
KINGSTON AV,KINGSTON AV
KINGSTON-THROOP,KINGSTON-THROOP
KNICKERBOCKER AV,KNICKERBOCKER
KOSCIUSKO ST,KOSCIUSZKO ST
LAFAYETTE AV,LAFAYETTE AV
LAWRENCE ST
LEFFERTS BLVD
LEXINGTON AV,LEXINGTON AV/63
LEXINGTON AV-53RD ST,LEXINGTON AV/53
LIBERTY AV,LIBERTY AV
LINCOLN AV-52ND ST,52 ST
LIVONIA AV,LIVONIA AV
LONGWOOD AV,LONGWOOD AV
LORIMER ST,LORIMER ST
LOWERY ST-40TH ST,40 ST LOWERY ST
MARBLE HILL-225TH ST,MARBLE HILL-225
MARCY AV,MARCY AV
METROPOLITAN AV,METROPOLITAN AV
METS - WILLETS POINT,METS-WILLETS PT
MIDDLETOWN RD,MIDDLETOWN RD
MONTROSE AV,MONTROSE AV
MORGAN AV,MORGAN AV
MORRIS PARK,MORRIS PARK
MORRISON AV-SOUNDVIEW AV,MORISN AV/SNDVW
MOSHOLU PARKWAY,MOSHOLU PKWY
MT EDEN AV,MT EDEN AV
MYRTLE AV,MYRTLE AV
MYRTLE-WILLOUGHBY AVS,MYRTLE-WILLOUGH
NASSAU AV,NASSAU ST
NECK RD,NECK RD
NEPTUNE AV-VAN SICLEN,NEPTUNE AV
NEVINS ST,NEVINS ST
NEW LOTS AV?NEW LOTS,NEW LOTS AV
NEW UTRECHT AV,NEW UTRECHT AV
NEWKIRK AV,NEWKIRK AV
NORTHERN BLVD,NORTHERN BLVD
NORWOOD AV,NORWOOD AV
NORWOOD-205TH ST,NORWOOD 205 ST
NOSTRAND AV,NOSTRAND AV
OCEAN PARKWAY,OCEAN PKWY
PACIFIC ST
PARK PLACE,PARK PLACE
PARKCHESTER-EAST 177TH ST,PARKCHESTER
PARKSIDE AV,PARKSIDE AV
PARSONS BLVD?PARSONS BLVD-ARCHER AV,PARSONS BLVD
PELHAM BAY PARK,PELHAM BAY PARK
PELHAM PARKWAY,PELHAM PKWY
PENNSYLVANIA AV
PRESIDENT ST,PRESIDENT ST
PRINCE ST,PRINCE ST
PROSPECT AV,PROSPECT AV
PROSPECT PARK,PROSPECT PARK
PROSPECT PARK-15 ST,15 ST-PROSPECT
QUEENS PLAZA,QUEENS PLAZA
QUEENSBORO PLAZA,QUEENSBORO PLZ
RALPH AV,RALPH AV
RAWSON ST-33RD ST,33 ST-RAWSON ST
RECTOR ST,RECTOR ST
ROCKAWAY AV,ROCKAWAY AV
ROCKAWAY BLVD,ROCKAWAY BLVD
ROCKAWAY PARK-BEACH 116TH,ROCKAWAY PARK B
ROOSEVELT ISLAND,ROOSEVELT ISLND
SARATOGA AV
SENECA AV,SENECA AVE
SHEEPSHEAD BAY,SHEEPSHEAD BAY
SHEPHERD AV,SHEPHERD AV
SIMPSON ST,SIMPSON ST
SMITH-9TH ST,SMITH-9 ST
SOUTH FERRY,SOUTH FERRY
SPRING ST,SPRING ST
ST LAWRENCE AV,ST LAWRENCE AV
STEINWAY ST,STEINWAY ST
STERLING ST,STERLING ST
STILLWELL AV,CONEY IS-STILLW
SUTPHIN BLVD,SUTPHIN BLVD
SUTPHIN BLVD-ARCHER AV - JFK,SUTPHIN-ARCHER
SUTTER AV,SUTTER AV?SUTTER AV-RUTLD
42ND ST?TIMES SQUARE?TIMES SQUARE-42ND ST,TIMES SQ-42 ST?42 ST-PORT AUTH?42 ST-BRYANT PK
TREMONT AV,TREMONT AV
UNION ST,UNION ST
UTICA AV,UTICA AV
VAN CORTLANDT PARK-242ND ST,V.CORTLANDT PK
VAN SICLEN AV,VAN SICLEN AV?VAN SICLEN AVE
VERNON BLVD-JACKSON AV,VERNON-JACKSON
WAKEFIELD-241ST ST,WAKEFIELD/241
WALL ST,WALL ST
WEST 4TH ST,W 4 ST-WASH SQ
WEST 8TH ST,W 8 ST-AQUARIUM
WESTCHESTER SQUARE-EAST TREMONT AV,WESTCHESTER SQ
WHITEHALL ST,WHITEHALL S-FRY
WHITLOCK AV,WHITLOCK AV
WILSON AV,WILSON AV
WINTHROP ST,WINTHROP ST
WOODHAVEN BLVD,WOODHAVEN BLVD
WOODLAWN,WOODLAWN
WOODSIDE AV-61ST ST,61 ST WOODSIDE
WORLD TRADE CENTER,WORLD TRADE CTR
YANKEE STADIUM-161ST ST,161/YANKEE STAD
YORK ST,YORK ST
ZEREGA AV,ZEREGA AV
