Rise New York,-73.99108124,40.74263763,Cowork
The Productive,-73.98582,40.75097,Cowork
WeWork Soho,-73.998653,40.720245,Cowork
Quest Workspaces,-73.9809139,40.7599017,Cowork
Wix Lounge,-73.9967804,40.7446912,Cowork
The Yard: Lower East Side,-73.9896868,40.718728,Cowork
NeueHouse,-73.9847565,40.7410355,Cowork
QNS Collective,-73.926073,40.753893,Cowork
Coworkrs - Flatiron,-73.9855287,40.7400246,Cowork
WorkHouse NYC,-73.980042,40.756718,Cowork
WeWork Madison,-73.980598,40.750465,Cowork
WeWork Meatpacking,-74.0060226,40.7396805,Cowork
Suben Dougherty Architects,-74.004834,40.725822,Cowork
Bat Haus,-73.9217479,40.706821,Cowork
WeWork NoMad,-73.9851923,40.7441193,Cowork
The Times Center,-73.9893694,40.7560322,Cowork
PencilWorks,-73.95836,40.72994,Cowork
REV,-74.0059,40.74054,Cowork
Spark Labs,-73.991347,40.73391,Cowork
Alley Midtown,-73.9892062,40.7531081,Cowork
Con Artist Collective,-73.988838,40.719654,Cowork
The Yard,-73.9529734,40.7231378,Cowork
Grind,-73.9866522,40.7536411,Cowork
CoLab-Factory,-73.9833283,40.6900554,Cowork
Sage Workspace,-73.98694,40.745887,Cowork
Joynture,-74.0090963,40.7063634,Cowork
Nowhere Studios,-73.9391336,40.6775814,Cowork
Regus,-73.9941635,40.7455482,Cowork
Select Office Suites,-73.9934158,40.7430038,Cowork
Bevmax Office Centers,-73.9831927,40.7695791,Cowork
Regus,-73.99062,40.73124,Cowork
BrooklynWorks At 159,-73.9955053,40.6638079,Cowork
Impact Hub NYC,-74.002266,40.718285,Cowork
WeWork Dumbo Heights,-73.98744606,40.70082998,Cowork
WeWork FiDi,-74.0111085,40.70393372,Cowork
TechSpace,-73.9927832,40.7332576,Cowork
Sunshine Suites,-73.991981,40.728607,Cowork
TechSpace - NoMad,-73.9900704,40.7456572,Cowork
WeWork Bryant Park,-73.98423767,40.75296783,Cowork
FreeCandy,-73.962776,40.681107,Cowork
Brooklyn Creative League,-73.9852499,40.67737,Cowork
Hopedesks,-73.955543,40.712871,Cowork
Solis Office Spaces,-73.991309,40.751906,Cowork
SoTechie Spaces,-73.9837062,40.7520785,Cowork
WeWork Park South,-73.983757,40.742939,Cowork
TKO Suites,-73.988838,40.762058,Cowork
NYC Office Suites,-73.9736054,40.7524226,Cowork
BKLYN Commons,-73.96211261,40.66261044,Cowork
Paragraph,-73.9952164,40.7369919,Cowork
Brooklyn Brush Studios,-73.9250596,40.7076,Cowork
WeWork Charging Bull,-74.01399994,40.70573807,Cowork
WeWork City Hall,-74.008514,40.711202,Cowork
Green Desk,-73.9868878,40.7027217,Cowork
TEEM CoWorking,-73.945099,40.80201,Cowork
Jay Suites - Madison Avenue,-73.9790816,40.7525341,Cowork
Harlem Garage,-73.95514436,40.80598332,Cowork
Collab,-74.007019,40.726166,Cowork
The Farm Soho,-74.0014724,40.7205834,Cowork
Virgo Business Centers at Park Avenue South,-73.98668,40.7400499,Cowork
Microsoft Technology Center,-73.98994436,40.75683931,Cowork
WeWork Gramercy,-73.9857254,40.73947906,Cowork
Fueled Collective,-73.9975662,40.724247,Cowork
The Compound Cowork,-73.961112,40.661964,Cowork
Coalition,-73.989356,40.739326,Cowork
District CoWork,-73.98825,40.746284,Cowork
Coworkrs - Gowanus,-73.99328097,40.67746238,Cowork
Brooklyn Desks,-73.921577,40.706043,Cowork
WeWork Soho West,-74.00267003,40.72458356,Cowork
The Studio Guild,-73.9894791,40.7445412,Cowork
Alpha One Labs,-73.940795,40.7226792,Cowork
Emerge212 Boutique Office Space,-73.9816971,40.7553711,Cowork
AWS Pop-up Loft,-74.003692,40.722824,Cowork
Starret-Lehigh Building,-74.00655365,40.7515831,Cowork
Executive Office Center,-73.78759,40.739098,Cowork
SOVVOS,-73.9887,40.743927,Cowork
Regus,-73.9725952,40.7622147,Cowork
Harlem Business Alliance,-73.9463658,40.807018,Cowork
Rockefeller Group Business Centers,-74.00911713,40.7064743,Cowork
Jay Suites Financial District,-74.0130953,40.7064417,Cowork
Bevmax Office Centers,-74.006813,40.7170906,Cowork
Jay Suites,-73.98649597,40.74973679,Cowork
Rough Draft NYC,-73.9519399,40.71018,Cowork
TechSpace,-73.993379,40.7388195,Cowork
OfficeLinks - Grand Central West,-73.982674,40.756161,Cowork
Mission 50,-74.04267356,40.73728658,Cowork
The Harlem Collective,-73.94404,40.82982,Cowork
Servcorp,-73.972214,40.758461,Cowork
NYC Office Suites,-73.97223,40.7529162,Cowork
Indiegrove,-74.0432892,40.7199097,Cowork
Jay Suites Times Square,-73.987167,40.754997,Cowork
OfficeLinks - Chelsea,-73.99309,40.73991,Cowork
One Bryant Park,-73.98338199,40.7539542,Cowork
WeWork Empire State,-73.98439,40.7481129,Cowork
City Office Spaces,-73.9847488,40.748455,Cowork
Pony Offices NY,-73.9792633,40.7554283,Cowork
Regus,-73.9820719,40.7653697,Cowork
Willow Stone Realty,-73.9797974,40.7561111,Cowork
